comment ,pick,state
"I say we use the 2-week-plus containment period to assess our preoccupation w/ the health of the economy over the health of people. What exactly is this ""economy"" that?s made us so obsequious; that has free-market economists promoting socialist solutions while their liberal counterparts equate the wellbeing of the economy w/ the wellbeing of people? I get it: we work to earn money to buy things we need and want. But is our economy so fragile or so all-consuming that during times of crisis we worry as much - if not more, about its health over our own?",Reader Picks,
"It is interesting to speculate about these things but to me, it seems clear that we simply don't know enough yet about COVID-19 to make these kinds of choices. Expert respond to nearly every serious question about this condition and its characteristics with ""we don't know but we're racing to find out."" Given this, it seems we should opt for sequestration where possible until we have more real knowledge with which to plan and adjust our strategy. Katz's proposed solution seems sensible if you accept the necessary prremises....which are almost entirely speculative.",Reader Picks,OR
"Too soon to DO it, not too soon to PLAN for it",Reader Picks,VA
"Isn?t the strategy being advocated by Katz and Friedman one of the approaches that was modeled by the Imperial College London? Their model predicted this approach would still result in the health care systems in the UK and US being completely overwhelmed (ie demand for ICU beds, ventilators, etc. becoming many times higher than actual supply), causing extremely numbers of fatalities (in the millions in the US). And, I believe this model was based on the age-group fatality rates seen in Wuhan, and that some of the data coming out of Italy indicates higher death rates for younger patients - making this strategy even less viable.",Reader Picks,MA
"A lot of important op-ed columnists are being confronted with a situation that proves how woefully inadequate they are to the task of talking about what this moment really, really requires. This crisis only proves the point that the global economy has become a house of cards over the last 40 years or deregulation and globalization. The ones at the top have been bleeding the middle class dry. What comes after this must address the fundamental flaws of an economic system that has utterly failed. We won't be ""back to normal"" in two weeks. Wake up.",Reader Picks,MA
"This would be a very high stakes bet. While the odds seem be in favor of younger people, they are not zero and not well confirmed.",Reader Picks,CT 
One word in reply to Katz's plan: Italy.,Reader Picks,Wisconsin
"Mr. Friedman,this is, frankly, irresponsible advice. The case fatality rate appears to be closer to 3.4% of ALL cases. It is probably closer to 15% for those over 65. And alarmingly, we are seeing numerous people, relatively young and with limited or no underlying illnesses, requiring ventilators and even dying in the space of days. There is a reason our government is taking drastic measures. If we can get the majority of working people working from home, great. That's a big if. If we cannot, we must continue what we are doing now. And I remind you, Italy lost nearly 1,000 people overnight Saturday. And believe me, those people are far healthier than Americans. I wish I was wrong.",Reader Picks,NY
"Tom Friedman, the man of a million inanities comes through with another set. The time for controlling this through a targeted approach has passed long ago. Shutting down the country for 2 weeks is worthless since it takes 2 weeks to even begin to see if it works. Moreover, younger people are half of the hospital admissions so just letting this run through that cohort will still crush the US health care system. Without a complete shutdown, any state shutdown will not work. I would say that I have not read such a senseless column until I saw Slaughter's column today, which even makes Friedman's column look deep. Sometimes you need a powerful state that comes in and says: Here is what is going to be done, we are going to enforce it, and we are going to cover the fallout in a very direct and efficient way. Of course, given that we have a 4 year old in charge of the country, that will not happen. At the same time, commentators like Friedman and Slaughter should not be proud of themselves for being half a step faster than a 4 year old.",Reader Picks,Austria
"Had the United States taken this threat seriously and prepared by getting outfitted, particularly with enough tests to test everyone and test everyone regularly, the draconian measures likely would be far less. But we didn't do that. Correction, our incompetent commander in chief chose not to prepare, instead playing political football with people's lives while those who work with him unloaded stocks and filled their bank accounts. Those of you who voted for Donald Trump, here is a truth: you voted for a man who is now directly responsible for the untimely death of some of your fellow citizens. And that means that YOU are indirectly responsible for these deaths as well because you chose to vote for someone who is entirely incompetent and who has shown no interest in becoming competent. The wealthiest nation in the world and we don't even have enough masks to keep our medical workers safe. We have a fraction of the hospital beds that we should. We deem some jobs ""essential"" enough to make them continue going to work yet pay them $7.25 per hour and call them greedy when they ask for a living wage. And, in economic boom times, our debt has skyrocketed and it's about to soar again. That roaring economy fell apart in a matter of days. And what are you left with now?",Reader Picks,IL 
"So let me get this straight, you (and these experts) want a segment of the population to be ""separated"" and ""relocated"" for ""special treatment"", while the rest of the population goes on with their lives unempieded. Where have I heard this prescription before? Hmmm let me think.",Reader Picks,NJ
"Thank you for this. There are many important points made in this opinion piece, including 1) the need to avoid group think, 2) the fact that public health officials are dominating conversations about the direction of intervention (other experts should be involved, too), and 3) the costs of the current strategy may be more damaging than the virus itself. Let's not be afraid of hearing different perspectives - we need them right now in order to think creatively about how to move through and past the current time.",Reader Picks,NW
"Very important numbers. Thanks for reminding the many mercenary commenters here of the full consequences of what we are facing. It's appalling enough that anyone with gray hair is deemed expendable, but those same commenters are woefully unschooled or unconcerned with the fact that this disease will cut a destructive swath of death and disability across our whole population, young and old, without aggressive and sustained mitigation measures.",Reader Picks,
"Instead of printing money, let's take the money that's available: the tax revenue that billionaires have NOT been paying to the government. Seize it by force. If I failed to pay MY taxes, the government would seize everything I owned. Do the same to all the rich tax evaders in this country. Use THAT money, that they have stolen from us, to support the unemployed. Mnuchin the foreclosure king, is one of these thieves, and he owes this country and its people a lot. Start with him. Then let's get Bezos, Buffett, Bill Gates, the Walton family, and all their ilk, and make them pay.",Reader Picks,NJ
"Coronavirus and the American economy? The American economy has always been a massive contradiction and the coronavirus just seals the proof on the discrepancies. We have been told for decades the U.S. has the greatest economy, that the U.S. is the land of innovation, that all the technological developments, machines replacing people at work, etc. leads to a better life, but it was always strange how millions have always been driven unusually hard at work, that all this economic performance and supposed increased efficiency has never led to increase in leisure and freedom for most people but only wealth and leisure at the top of society, and now with the coronavirus we are told that the almighty U.S. economy might collapse within weeks, as if for all that power of economy, and all that hard work, there was nothing there all along saved up to bail out millions of people on a rainy day, which makes us ask of course where all the U.S. wealth has gone or if it wasn't a big lie in the first place the U.S. economy was improving all this time. So which is it? Millions of people have watched for decades old America wiped out, small town life and jobs gone, the big cities and corporations rise, all that innovation and advancement occur. And the American economy can't provide for people even as well as farmers in the old days provided for themselves over the winter time with their crops? It's a staggering joke. Either the wealth has been stolen or progress has been a sham.",Reader Picks,DC
"Without the ability to test widely before ending social isolation, the suggestions in this article are dangerous and irresponsible. Younger and middle-aged adults also seem susceptible to the most dangerous scenarios associated to the virus, though in lower numbers than the elderly and infirm. As a nation we are not really isolating at all levels; witness the recent complaints by Governor Cuomo by people gathering in parks in NYC. If we end two weeks of pseudo-isolation, it will only take a few asymptomatic cases to start the spread of the virus again. Germany has now seen three days in a row of declining numbers of new cases. We can't consider the measures in this article until we have seen declining case numbers for at least two weeks in the US.",Reader Picks,MA
"I think you need to understand that mortality and morbidity are not the same. First, let's assume the low estimate of 1% mortality (this is age-skewed, and up to 20% for some populations, but 1% overall). That's 3.7 million people dying in the next couple of months. Can the country handle that? What if the mortality is 3.5%, as some have estimated - or 13 million people. That's more than the population of all but the four most populous states. So you'd be ok if the equivalent of six Nebraskas being emptied of people? Second, morbidity: long-term debilitating effects for those who are infected and suffer some complications (immediate or delayed). This can include lung scarring and permanently decreased physical health. The morbidity effects will be more widespread and worsened if people don't receive treatment (i.e., if we don't ""flatten the curve""). No one knows what is going to happen. This virus is novel and its effects are novel. But as much as you're accusing our leaders of making ill-thought-out moves, seems like you yourself haven't considered the likely price of your suggestion.",Reader Picks,Nevada
"I'm going to put this idea out in public space until someone refutes it or until it's adopted. For at least the next 90 days all of our reality is we need to stay mostly at home. All we need are the basics: Shelter, food, water, utilities, health care. That's all one needs to survive in this moment. (TV is a nice addition) So, I propose we shut down what I call the ""money for space"" market. For the next 90 days at least, no one is required to pay- Rent Mortgage Utilities Virus care Temporary, to all these necessities are are not paid. Except food which many can cover with Social Security, savings, government handouts. The renter and the landlord thus have no need for their usual income. Same for the homeowner. Same for workers and business owners. The person who owns a restaurant can close it for now. He will not lose the space. His landlord also pays no mortgage on the space. The employees will not pay their rent or mortgage. When the crisis ends, it's back to work, fire up the grill and let's eat out! (emergency property maintenance will need funding but many will volunteer that labor) With these things covered, there is little need for income. Everyone can take a 90 day break. Financial Markets could close for the next two weeks as well. A 90 day holiday from the ""money for space"" market means guaranteed roof overhead and business space. We'll work out utilities and health care. It's TEMPORARY! Shelter in place without fear of losing shelter.",Reader Picks,USA
"This is a benefits-burdens problem. How one sets the weights of those questions decides. Tom Friedman seems to be leaning toward the 'merchants rights' movements over the health and well-being of the population, willing to sacrifice an untold number of lives for the marginal gain in profits. No thanks.",Reader Picks,NY
"As a life-long developmentalist (I write textbooks in human development), and earlier- adult gerontologist, I couldn't agree more. When I was in my 20s I began to work with the elderly because I was passionate to try to extend the quality of life in nursing homes. Now that I'm in my 70's, I realize that our main human goal is ALWAYS to prioritize the needs of the young over the old. One benchmark of reaching wisdom is to fully understand:""Life has a beginning a middle and an end"". Or as the main luminary in my field, Erik Erikson, implied after a certain age, self-preservation is selfish. ""generativity""-- caring for the next generation is the real benchmark of being a mature adult.",Reader Picks,IL 
"I find the timing of this piece to be irresponsible. We only have the next couple of weeks to do everything we can to slow this infection down, or we risk the collapse of the healthcare system. Cases are now doubling every 2-4 days. Today, we're at 40,000, before the end of the month, we'll be over a million and doubling by millions after that. This is the only time we have to slow it. It's time for BIG government to step in and rescue the citizenry and the country with a massive influx of cash. We need the US military to be building tent hospitals and planning logistics, and companies to be making 10 million ventilators and PPE for our medical staff in the next two weeks. Government can make this happen by ordering it done on a wartime footing, because that's exactly what we're in. God help us if we don't find the way.",Reader Picks,ME
Bill are you kidding? Why not tell folks over a certain age to walk off a cliff so the economy can back to making money,Reader Picks,NY
"How depressing to read of your having no wish to continue living. You and @Bill speak for yourselves and would cast a vote to endanger others simply because you seem tired of living. If you are so uncaring about your life, why not volunteer for some frontline duties to help others? Go pick up and deliver food for the younger ones you believe have a greater right to life. Or volunteer elsewhere to help those desperately in need.",Reader Picks,NY
"Rotate, two weeks on, two weeks off. Obviously without a vaccine testing seems the most critical tool we need.",Reader Picks,
"Professional Wrong Person Thomas Friedman chimes in with -- let's just pretend we can go back to business as usual. I mean, the capitalists are taking a real hit here, folks. There is exactly one good outcome that could come of this: we wake up to the need to transform our health system and our economy away from the twentieth century model of pillage and plunder and toward a twenty-first century model of conservation and harmony.",Reader Picks,NY
"This seems like a house of cards argument that has been left out in the rain. We do not know enough to take these chances. We also know people will break the rules so this episode will take longer to wind down than one round of being contagious. Lower income does cause stress, but probably has a tiny effect if it is only a few weeks. If you lose your job you can continue your health insurance through COBRA. An ER will still treat any true emergency. These objections do not seem to carry much weight. Sickness and death are extremely expensive in addition to being the overriding moral imperative. We will not get a second chance to avoid being the next Italy - in more ways than one.",Reader Picks,Ohio
"Amen Mr. Friedman. However, we have a child in the White House who can hardly reassure a frightened nation without making it about his ego much less have the clarity, cognitive reasoning and courage to make such a decision or engage in such pragmatic thought. I seriously fear for this country and the world that the bigger issue of an impending economic disaster will not have American leadership to steady the ship. Perhaps we will cede this to China or Russia. They are waiting in the wings eager to take up the mantle",Reader Picks,Washington
"Korea showed the world how to do it. Test, test, test, test ......... But tragically that seems to be way beyond this administration.",Reader Picks,PA
"Because we haven?t yet seen a meltdown of hospitals, scores of medical personnel dying, no more ventilators, triage in place and bodies outside the tents, when all the ventilators have been used, we tend to look at the economic damage now. Yes, it is awful. But we need to lengthen the doubling time drastically, not shorten it. The idea that ""only"" 1% die means if 2.5 million, should 250 million be infected. Even if it were 0.1%, rosy, that is a quarter million Americans. We don?t know how many additionally will die from inability to get basic medical treatment for cancer and other things people have today. We don?t know how many people will have pulmonary fibrosis left over from Covid, which is a serious condition. We do know that a lot of younger people will become infected, too. If this seems wrong, look at Italy and imagine what would have happened had the brakes been let off. We can still do better by testing, assuming we fix the system, and if we do anything ?surgical,? it would be going after those testing positive and their contacts. The continued delays in adequate testing and the continued promises will be the epitaph for this country,",Reader Picks,OR
"Imagine a patient with chest pain or a developing stroke, where speed is essential to save lives, hesitating to call 911 for fear of catching the coronavirus.? If we don?t contain covid-19, the chest pain/stroke patient would not receive proper treatment bc the healthcare system will be totally overwhelmed. So a moot point, at least in places like NYC where infection is widespread",Reader Picks,PA
"Interesting analysis about switching from horizontal to vertical interdiction. One major flaw. Trump is a disrupter, not an achiever. The lack of sensible, early action and and bumbling misinformation fully show leadership and crisis management failure. Switching to vertical interdiction discounts the difficulty of convincing people who distrust experts and those who wrongly believe Covid-19 restrictions do not/cannot apply to them. It depends on people being both self-aware and self-disciplined about their medical conditions, future possibility of infection, and impact on others -- can this lead to serial spikes? The empirical evidence is not comforting for masses of people to willingly adopt more nuanced interdiction methods without effective government. And this government, with some many experts, is hobbled by incompetent leadership",Reader Picks,Virginia
"Thomas, it seems to me this technocratic thinking neglects a few very big things. First, too little is known about the effects of the virus in the younger population; that large groups are not at risk is largely conjecture based on an incomplete data set. It is an incredible gamble, to say the least, to hope for ""uneventful"" herd immunity. It is also becoming clear there is a very significant number of cases with serious long term impairments like reduced lung capacity. Who gets to decide who should be infected, based on which data? Second, as any virus this thing just loves to mutate. We do not know how secure or lasting any herd immunity would be. The best way to arrive at lots of different strains is to give the virus lots of space to breed and mutate, possibly ending up with a problem multiplied. The dream of herd immunity might just turn into the nightmare of several necessary treatments, just like the yearly flu, only much nastier. Third, just how exactly would we shield the ""vulnerable"" in our connected society? In camps?",Reader Picks,Austria
"This is absolutely the best popular-press opinion piece I have read on our pandemic reaction and recovery. During the past week, I had read your sources (Ioannidis, Katz) and had hoped that someone with a public megaphone would broadcast this information to the world. There is only one thing I hope to be able to add, and that is on the subject of testing. It seems that the primary benefit of testing at this point is to get a grasp on where and how big the infected but asymptomatic population is. What I know of statistics tells me that requires random sampling of the population at large. It can't be accomplished by ""testing on-demand"" because a self-selecting sample will inevitably be badly biased. The takeaway is that as a matter of public health policy, testing should be conducted as directed by experts: physicians for individual patients, and epidemiologists for communities. And thanks again for a superb article.",Reader Picks,
"In Italy the fatality rate among those tested positive has been 4-5%, not 1. Between 500 and 1000 people a day are dying. There is hardly time to bury them. Do you think that, a month from now, the US will be in better shape? Outside New York hardly anyone has been tested. We have no idea how widespread the virus is. My prediction is that we are about to see catastrophic levels of mortality. That is going to make an article suggesting that we treat the crisis like a bad flu year one of the many casualties of a disaster evolving in exponential, not evolutionary time.",Reader Picks,New Zealand
"God forbid, we endanger the health of the economy over the death of the 1%. Experts have long understood that one percent, someone else grandma or grandpa who wasn?t long for this world anyway is no longer with us. The old are a drag on the economy after all, or what Trump would call the takers. Experts with excellent pedigree can always be found to support horrid solutions. What kind of a people are we if we are willing to sacrifice the most vulnerable among us for the good of an economy that at its foundation is held up by many low wage workers without health care. It seems like a modern form of slavery, only worse since those at the bottom have no value.",Reader Picks,Minneapolis
Excellent comment. TF is putting the chart way the heck before the horse.,Reader Picks,MA
"At the national level, the question of How Many Masks Do We Have was met with the catchall dodge of the modern era: ""National Security -- we can't tell you.""",Reader Picks,CA
"I've read that 40% of the hospitalizations with coronavirus are in the 20-54 age range. And the virus is obviously very contagious, and can be spread for weeks by someone who is asymptomatic. So if we allow the less vulnerable to roam more freely, we'll still have an overloaded health system in a very short time. I'm all in favor of getting back to work as soon as possible, and I honestly fear the economic toll of this outbreak more than the virus itself. But I haven't seen a good plan for dealing with an inevitably overtaxed healthcare system.",Reader Picks,Tennessee
"This is crazy talk from Friedman. None of the premises is factual. There aren't enough tests. Nobody is working to solve that problem. The President seems to suppose he can defy it. Nobody knows if acquired immunity will do what Friedman supposes. Case numbers spike so fast that adding young patients at any but the most constrained rate possible is madness?do it quicker and the sick young will simply bump older more critical patients out of intensive care, and get them triaged to death. The ventilator shortage will not be solved quickly enough. Younger patients will die too, not at the same rate, but at a rate plenty high enough that cooperation in Friedman's scheme would amount to extraordinary heroism. When you posit policy on extraordinary heroism cropping up universally, you are doing it wrong. Flatten the curve. Develop a vaccine. Fix the economy. In that order.",Reader Picks,MA
"How would you go about isolating those who are most vulnerable to the virus? Would you round them up and move them to camps? Yeah, those in a nursing home are readily isolated, but what about every person with asthma, heart condition, elderly living with family, etc? I don't think this idea is well thought out. As far as a two week reboot, at this point there are so many cases, even a two week reboot would ""leak"" enough undetected cases to start the cycle all over again.",Reader Picks,CA
"Dear Mr. Friedman, In a crisis, a society often reveals both its best aspects and its worst. So it is with Covid-19. Our culture is sick. One of the sickest on Earth. I blame the wealthy and powerful - like YOU - for this situation. They have all the resources and use them for selfish gain. They are school yard bullies that have grown up knowing that being a bully reaps rewards. The psychopathology of these Ruling Elite should put many of them in institutions locked up and out of harms way. They are dangerous to all life and should not have wealth and power. We need to use this crisis as a wake up call. The wealthy and powerful elite, The Ruling Elite, put us in this situation with their sick values and beliefs; their ?ideology?. They were warned about this virus before us and many sold their stocks prior to the crash. They are above the law. They are ripping us off financially by taking our tax money and giving it to their friends. They cheat, connive and steal any chance they get; this is American Style Capitalism in a nut shell. And while I sympathize with you, now that you can?t live the pampered lifestyle you and your uber-wealthy and famous friends are used to, and can?t get all the services you are accustomed to, I do not want to go back to business-as-usual like you are advocating for. We need real systemic change. We need to suspend capitalism for now and focus on saving as many lives as possible. People over money in the US, just for now.",Reader Picks,Berlin
"So your response is let's all get coronavirus, and 90% of us will live.",Reader Picks,Florida
Send all the vulnerable to North Dakota. Then they can complain about having inadequate Congressional representation.,Reader Picks,USA
"The numbers just don't add up, Thomas. Let's low-ball and say that the per-capita death/hospitalization rate for Covid-19 is only double that of the flu, if vulnerable populations are isolated. Then factor the higher infection rates, which are at least twice as high as for the flu (conservatively). Multiply the relative infection rate (vs. flu) by the relative hospitalization rate, and you have at least 4 times the number of hospitalizations vs. flu, which will overwhelm our medical system. Just going ""back to normal"" in two weeks would result in a massive increase of infections, ironically resulting in higher mortality rates among the vulnerable population, who would be in competing with Covid cases for scarce care facilities.",Reader Picks,MA
"We must all be grateful to Mr. Friedman for citing a trifling two sources to justify a strategy that does more good for business than it does for anyone else. The Fat Cats always cry foul at anything whatsoever that disrupts their bottom line. As a Washingtonian, I can remember when the nuclear power industry constantly cried out that, without their reactors, the entire state would be condemned to frequent brown-outs. When the reactors didn't prove profitable, the reactors were dismantled--and the brown-outs didn't happen. Mr. Friedman will have to forgive me for being skeptical of any claim that sounds like a billionaire's fondest dream. By the way, where are America's old people supposed to be sequestered? In internment camps, perhaps? So that they can all be together to make each other's infections worse? If we build and fill the camps, will they become places where old folks are encouraged to go ahead and die already? After all, they aren't in the spend-most demographic of 18-35 years of age, so what value could their lives possibly have?",Reader Picks,Washington
"I suggest Mr. Friedman read ""I?m 26. Coronavirus Sent Me to the Hospital"" which can be found elsewhere in the NYT & then revisit the subject of letting the supposedly young and healthy back on the streets. Or perhaps he would like to change places with her.",Reader Picks,Ohio
"Great to see a thoughtful and reasoned different approach to this incredibly challenging situation! I believe your proposed approach is correct, but the only problem is that it requires intelligent, thoughtful, leadership from people more concerned with the country than themselves... and those people are in short supply in DC.",Reader Picks,OR
"Great column with the exception of the cheap attack on the president (whom I oppose, BTW), who did not claim the virus itself to be a hoax, but rather the Democrat/media characterization of his administration's response to it. That's a substantive distinction which deserves to be respected.",Reader Picks,
"If it?s true that the hospitality- tourism industry accounts for 10% of jobs and 8% of GDP, and people aren?t going to flock to websites or travel agencies to book exotic (or less exotic) vacations due to the fear of getting the virus from someone who hasn?t been locked down for two weeks, then it would seem that a 10% contraction of the economy is going to be difficult to unwind. Similarly other sectors of the economy would appear to be damaged long beyond a few weeks, let alone a few months. So 20% contraction seems possible - a severe blow to many. The first three stages of grief are 1) denial, 2) anger, and 3) bargaining. While Trump vacillates between 2 and 3 now, after spending a few months mired in 1), his base is most likely still mostly in 2) because that?s where they like to reside, in good times as well as bad. Friedman?s approach is more a 3) since it might involve bargaining away lives in order to prop up the economy. At some point, the terror of accepting that things have been fumbled badly by Trump and his enablers due to stubbornness will lead to the enduring of the pain of the loss of thousands of lives, whether statistically significant or not. The acceptance and grieving phases will be difficult for mature Americans, more so than those for whom compassion is to be avoided, or denied. To be stuck in 1) or 2) is to live without liberty. The bottom line is that the virus is now ?in control?, not Trump, no matter what he proposes to do.",Reader Picks,NC
"None of this would have happened had Donald Trump not completely ignored and lied about his January briefings on the emergence of a dangerous coronavirus in Wuhan, China. It took HHS Secretary Azar more than two weeks to try to speak with Trump about the virus after his January 3rd briefing -- and once Trump took notice, he lied to the American public and only acted to personally benefit his campaign rather than act in the interests of the public. We in the USA could have taken the Taiwan approach of large-scale testing of people for the virus and contact tracing, but the prevarication and delays of Trump and his GOP sycophants prevented that less deadly approach. At this stage, we still would need the large-scale testing --which Trump has refused to support and lend federal resources to -- and contact tracing. As we do not have that, it will take more than two weeks of home sheltering to reduce the mortality and morbidity to a level that will not overwhelm hospitals.",Reader Picks,MA
"With the current lack of leadership, no one is going to insist on a two-week quarantine period across the country, even though both experts and many lay people agree with it. I had that conversation not an hour ago with a friend. She's in her 60s and has an autoimmune disease. I'm in my 70s and have asthma. We see kids congregating in large groups on our beaches. Leadership is lacking at the local level here and at the national level, so there is every chance that thousands if not tens of thousands more will die in the coming weeks, simply due to people being unwise or unwilling to stay home except for necessities like food and water.",Reader Picks,SC
"""These are days that test every leader ? local, state and national. They are each being asked to make huge life and death decisions, while driving through a fog, with imperfect information, and everyone in the back seat shouting at them. My heart goes out to them all."" Thank you for stating the obvious, which so many unfortunately refuse to see. Please make sure all your colleagues read this. This is the time to support all the people, Republicans and Democrats, who are in positions in power. There will be plenty of time to bash them all once this passes. This is a crisis - behave.",Reader Picks,France
"Everything you wrote makes sense but so much is riding on whether or not individuals and companies act responsibly. Retail workers are complaining about lack of hand sanitizer and masks and many are choosing to report to work even if they are sick. ?Wages at Target start at $13 an hour, and employees often have a hard time getting more than 20 hours of work each week. Many are not offered health insurance through the company. All of which leaves employees facing a hard decision: If they feel a cold coming on, or if they were in contact with someone who was confirmed to have the coronavirus, many say they have no choice but to keep working.? The response by companies like Amazon is to hire 100,000 employees to account for workers who are too sick to come to work. ? Not all of the hiring is being done to simply meet demand. Employers are also bracing for when their workers get sick with the virus or are simply no longer able to get to work, and are planning accordingly. ?Some of our hiring is to manage risk, too,? Mr. Vanderelzen of Lineage Logistics said. ?We expect that some people will be quarantined or have to leave because of the virus.?",Reader Picks,NY
This seems like a game of Russian roulette . If we had leadership and time could this be considered. Manufacturing needs to return We could employ everyone Why aren?t we using all these 3D printer companies and employing massive amounts of people to make protective products for the front line Now and for the vulnerable in the future And rethink sanitary standards everywhere,Reader Picks,Texas
"Oh look, a column by Friedman arguing for returning to the status quo as quickly as possible no matter the potentially dire consequences. How shocking.",Reader Picks,NJ
"Everyone above age 65 and/or with existing health conditions should be required to stay home. Let everyone else get back to work. We are basing our estimates on skewed testing mainly performed on the already sick, hence the dramatic numbers and increases, which simply reflect increased testing, not much else. A nationwide poll would be the only way to get exact numbers regarding the percentage of infected and mortality rate. This global shutdown seems many times more dangerous than corona itself.",Reader Picks,NY
"Economics is not a science. Economists are not scientists. There are too many variables and unknowns to craft the double-blind/ randomized controlled experimental tests that provide predictable and repeatable results that are the essence of science. America is not a business. America is a nation state. The President of the United States is not a businessman. The President of the United States is the head of government and state. There is no science in politics or any of the other social sciences for the same reasons. Any more than there is any science in history and law. Calling anyone an economic or political ' expert' is no more convincing and credible than calling any accountant, banker, charlatan, fortune teller, historian, journalist, lawyer, oracle, preacher, politician, psychic, or soothayer an 'economics expert'. There isn't a Nobel Prize in Economics Science. There is the Swedish National Bank Prize in memory of Alfred Nobel. Past economics performance is no reliable indicator of future economic performance is the legal disclaimer of liability.",Reader Picks,IL 
"We should be taking this time to understand the disease so we can make intelligent decisions on how to create a new normal for everyone. A surgical restart to getting everyone back to work helps the whole society and we need to protect our most vulnerable. We all have friends and family we want to protect, so it?s in our own best interest to protect them. But that doesn?t mean we slowly destroy the rest of society. The government needs to give us better facts so we can make better decisions. The role of government is to protect all its citizens. If it doesn?t then it fails. Right now the government is failing.",Reader Picks,NY
"His plan would still swamp and choke the hospitals, wouldn't it? How does that help?",Reader Picks,
"Thank you Thomas. As an old vulnerable guy have been rather loudly (through my tiny megaphone) advocating shutting things down as firmly as possible. Look at China. How relatively unscathed even though they were ground zero. Now believe I was very wrong and Dr.Katz is very right. So thankful that you are, far more eloquently than I could, advocating this, or at least seriously considering this approach, through your much larger megaphone. Continuing the current world-wide suppression approach is going to lead, I believe, to untold economic disaster and may wind up saving no lives at all. Isolating everyone over 60 or even over 50 and letting the remaining 3/4ths of the world get on with their lives seems a much better approach. The question is, is there any chance the rush to suppression can now be reversed?",Reader Picks,NJ
"There are 68 million Americans over 60, and God only knows how many more other vulnerable Americans. If you switch to a plan to let Covid-19 burn through the population at full speed, then starting in six weeks or so the number of active cases will be so enormous that those 68 million people will have no chance of avoiding it if they so much as step out of their house to buy a gallon of milk. How exactly is 1/5 of the population of the US supposed to survive for the 2-3 months when Covid-19 is active world-wide? The death rate among the 68 million people most vulnerable will probably be something like 5% or more, which means 3 million or more deaths in the US over the June - August period. Maybe its because I'm 63, but that doesn't sound like a great plan.",Reader Picks,PA
Thank you for thoughtful proposal. The problem is that we are seeing half of the hospitalizations as people under 45. In Minnesota we have several people severely ill in their 30s. So we cannot yet define a true low risk group.,Reader Picks,Minnesota
"Let's throw some raw numbers at this. (Please if I've got these wrong I am open to criticism and corrections and take no offence) Assume a constant transmission rate of 2 by every person, a death rate of 1% with 85% of that for 70 and over age groups. If the doubling of transmissions is weekly then by week 30 you have around 10 million deaths, 9 million over 70 and 1 million under 70. The nastiness really starts getting huge by week 26 (one half a year). Play around with these numbers a bit and assume a transmission rate that doubles every two weeks. Then these numbers are postponed until week 60 - about a year. Now Thomas, ask yourself how much is it worth to the economy. We really do need to slow this transmission rate down because it may be higher that 2 for every 1.",Reader Picks,Australia
"The reasons why China, South Korea, and Singapore test, test, and test some more, was to catch carries of Corvid-19 who are a-systematic. South Korea and Singapore are consistently taking the temperature of its citizens on the street, subways, bus stops, malls, and testing. Strange, Germany developed a test one week after China sent them the info. It took South Korea three weeks (end of January) to develop their own test, one test kit can test a 100 people. Yet, US development of COVID-19 has been slow and cumbersome. I wonder if the line never everyone needs to be tested is an excuse to cover US gov. tardy response and struggle with developing a CVOID-19 test.",Reader Picks,Indiana
"I rarely agree with Friedman about anything, but this editorial is an excellent summary of the positions I've been advocating in my local community, to widespread derision.",Reader Picks,CA
"I think Mr. Friedman is still assuming that the COVID-vulnerable populations can be assessed with certainty in advance so they can be protected. This assumption is part of what got us into this disaster to begin with - the idea that young, otherwise healthy people have nothing to worry about - and now that it is spreading uncontrollably, we are finding that many young, otherwise healthy people are winding up on ventilators and dead. I am not sure it is in everyone's best interests to walk into a 1 in 20 chance of death to ""save the economy."" Furthermore, it is hardly likely that with pandemic-level spread, the people who most need protecting will be at all safe despite best efforts.",Reader Picks,NY
"The fundamental rationale for what Friedman labels the ""horizontal interdiction"" strategy is to ""flatten the curve"" of the inevitable upward slope of those seriously ill with Covid-19 so it doesn't overwhelm currently available hospital facilities and concurrently endanger our precious and limited resource of medical first responders. What is crucial is to ASAP expand both the capacity of our hospital facilities (beds and ventilators) and to end the shortage of Personal Protection Equipment to safeguard our medical staffs. But Friedman is absolutely right that we need FOR THE SAKE OF AVOIDING A CALAMITOUS SECOND GREAT DEPRESSION to switch to a ""vertical interdiction"" strategy sooner rather than later. That is why it is so witless that Trump keeps stalling on invoking the Defense Production Act to ensure and expedite supplying what we're now crucially lacking.",Reader Picks,NJ
